week_start,comments,posts,total
2020-05-11,31.0,1.0,32.0
2020-05-18,2.0,0.0,2.0
2020-05-25,181.0,1.0,182.0
2020-06-01,483.0,1.0,484.0
2020-06-08,7.0,0.0,7.0
2020-06-15,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0
2020-07-06,126.0,1.0,127.0
2020-07-13,226.0,1.0,227.0
2020-07-20,10.0,0.0,10.0
2020-07-27,8.0,0.0,8.0
2020-08-03,1.0,0.0,1.0
2020-08-10,239.0,1.0,240.0
2020-08-17,117.0,1.0,118.0
2020-08-24,204.0,1.0,205.0
2020-08-31,40.0,0.0,40.0
2020-09-07,248.0,2.0,250.0
2020-09-14,31.0,0.0,31.0
2020-09-21,145.0,1.0,146.0
2020-09-28,123.0,0.0,123.0
2020-10-05,5.0,0.0,5.0
2020-10-12,5.0,0.0,5.0
2020-10-19,18.0,0.0,18.0
2020-10-26,9.0,0.0,9.0
2020-11-02,16.0,0.0,16.0
2020-11-09,4.0,0.0,4.0
2020-11-16,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0
2020-11-30,7.0,0.0,7.0
2020-12-07,0.0,0.0,0.0
2020-12-14,54.0,1.0,55.0
2020-12-21,1.0,0.0,1.0
2020-12-28,1.0,0.0,1.0
2021-01-04,6.0,0.0,6.0
2021-01-11,2.0,0.0,2.0
2021-01-18,148.0,1.0,149.0
2021-01-25,7.0,0.0,7.0
2021-02-01,2.0,0.0,2.0
2021-02-08,49.0,1.0,50.0
2021-02-15,5.0,0.0,5.0
2021-02-22,106.0,1.0,107.0
2021-03-01,116.0,1.0,117.0
2021-03-08,47.0,0.0,47.0
2021-03-15,6.0,0.0,6.0
2021-03-22,1.0,0.0,1.0
2021-03-29,55.0,1.0,56.0
2021-04-05,0.0,0.0,0.0
2021-04-12,172.0,1.0,173.0
2021-04-19,186.0,1.0,187.0
2021-04-26,5.0,0.0,5.0
2021-05-03,363.0,2.0,365.0
2021-05-10,187.0,2.0,189.0
2021-05-17,6603.0,26.0,6629.0
2021-05-24,3875.0,19.0,3894.0
2021-05-31,2957.0,12.0,2969.0
2021-06-07,2034.0,10.0,2044.0
2021-06-14,3013.0,11.0,3024.0
2021-06-21,1869.0,8.0,1877.0
2021-06-28,939.0,3.0,942.0
2021-07-05,1133.0,6.0,1139.0
2021-07-12,1183.0,3.0,1186.0
2021-07-19,795.0,2.0,797.0
2021-07-26,621.0,3.0,624.0
2021-08-02,861.0,1.0,862.0
2021-08-09,243.0,1.0,244.0
2021-08-16,202.0,1.0,203.0
2021-08-23,666.0,1.0,667.0
2021-08-30,57.0,1.0,58.0
2021-09-06,4.0,0.0,4.0
2021-09-13,273.0,1.0,274.0
2021-09-20,23.0,0.0,23.0
2021-09-27,409.0,2.0,411.0
2021-10-04,264.0,1.0,265.0
2021-10-11,280.0,0.0,280.0
2021-10-18,159.0,1.0,160.0
2021-10-25,46.0,0.0,46.0
2021-11-01,18.0,0.0,18.0
2021-11-08,22.0,0.0,22.0
2021-11-15,14.0,0.0,14.0
2021-11-22,414.0,2.0,416.0
2021-11-29,137.0,0.0,137.0
2021-12-06,26.0,0.0,26.0
2021-12-13,16.0,0.0,16.0
2021-12-20,7.0,0.0,7.0
2021-12-27,5.0,0.0,5.0
2022-01-03,0.0,0.0,0.0
2022-01-10,1.0,0.0,1.0
2022-01-17,44.0,1.0,45.0
2022-01-24,118.0,0.0,118.0
2022-01-31,21.0,0.0,21.0
2022-02-07,160.0,1.0,161.0
2022-02-14,8.0,0.0,8.0
2022-02-21,15.0,0.0,15.0
2022-02-28,459.0,2.0,461.0
2022-03-07,28.0,0.0,28.0
2022-03-14,264.0,1.0,265.0
2022-03-21,24.0,0.0,24.0
2022-03-28,224.0,1.0,225.0
2022-04-04,327.0,1.0,328.0
2022-04-11,38.0,0.0,38.0
2022-04-18,271.0,2.0,273.0
2022-04-25,75.0,0.0,75.0
2022-05-02,9.0,0.0,9.0
2022-05-09,587.0,2.0,589.0
2022-05-16,651.0,2.0,653.0
2022-05-23,880.0,3.0,883.0
2022-05-30,193.0,0.0,193.0
2022-06-06,772.0,3.0,775.0
2022-06-13,590.0,1.0,591.0
2022-06-20,87.0,0.0,87.0
2022-06-27,45.0,0.0,45.0
2022-07-04,23.0,0.0,23.0
2022-07-11,67.0,1.0,68.0
2022-07-18,0.0,0.0,0.0
2022-07-25,700.0,3.0,703.0
2022-08-01,68.0,0.0,68.0
2022-08-08,715.0,2.0,717.0
2022-08-15,45.0,0.0,45.0
2022-08-22,60.0,1.0,61.0
2022-08-29,179.0,0.0,179.0
2022-09-05,23.0,0.0,23.0
2022-09-12,400.0,1.0,401.0
2022-09-19,19.0,0.0,19.0
2022-09-26,8.0,0.0,8.0
2022-10-03,10.0,0.0,10.0
2022-10-10,4.0,0.0,4.0
2022-10-17,77.0,1.0,78.0
2022-10-24,0.0,0.0,0.0
2022-10-31,0.0,0.0,0.0
2022-11-07,1.0,0.0,1.0
2022-11-14,7.0,0.0,7.0
2022-11-21,0.0,0.0,0.0
2022-11-28,0.0,0.0,0.0
2022-12-05,87.0,1.0,88.0
2022-12-12,7.0,0.0,7.0
2022-12-19,0.0,0.0,0.0
2022-12-26,0.0,0.0,0.0
2023-01-02,0.0,0.0,0.0
2023-01-09,76.0,1.0,77.0
2023-01-16,4.0,0.0,4.0
2023-01-23,217.0,1.0,218.0
2023-01-30,8.0,0.0,8.0
2023-02-06,247.0,1.0,248.0
2023-02-13,14.0,0.0,14.0
2023-02-20,9.0,0.0,9.0
2023-02-27,165.0,1.0,166.0
2023-03-06,189.0,0.0,189.0
2023-03-13,13.0,0.0,13.0
2023-03-20,3.0,0.0,3.0
2023-03-27,7.0,0.0,7.0
2023-04-03,0.0,0.0,0.0
2023-04-10,3.0,0.0,3.0
2023-04-17,1.0,0.0,1.0
2023-04-24,165.0,1.0,166.0
2023-05-01,515.0,2.0,517.0
2023-05-08,241.0,1.0,242.0
2023-05-15,8.0,0.0,8.0
2023-05-22,24.0,0.0,24.0
2023-05-29,678.0,2.0,680.0
2023-06-05,170.0,0.0,170.0
2023-06-12,202.0,1.0,203.0
2023-06-19,83.0,0.0,83.0
2023-06-26,27.0,0.0,27.0
2023-07-03,6.0,0.0,6.0
2023-07-10,6.0,0.0,6.0
2023-07-17,497.0,1.0,498.0
2023-07-24,125.0,1.0,126.0
2023-07-31,48.0,0.0,48.0
2023-08-07,2.0,0.0,2.0
2023-08-14,226.0,1.0,227.0
2023-08-21,43.0,0.0,43.0
2023-08-28,22.0,0.0,22.0
2023-09-04,14.0,0.0,14.0
2023-09-11,7.0,1.0,8.0
2023-09-18,153.0,0.0,153.0
2023-09-25,2.0,0.0,2.0
2023-10-02,0.0,0.0,0.0
2023-10-09,5711.0,34.0,5745.0
2023-10-16,18842.0,56.0,18898.0
2023-10-23,14619.0,37.0,14656.0
2023-10-30,14490.0,36.0,14526.0
2023-11-06,12481.0,28.0,12509.0
2023-11-13,10289.0,25.0,10314.0
2023-11-20,10029.0,27.0,10056.0
2023-11-27,6421.0,17.0,6438.0
2023-12-04,9256.0,23.0,9279.0
2023-12-11,7166.0,16.0,7182.0
2023-12-18,5049.0,11.0,5060.0
2023-12-25,2758.0,7.0,2765.0
2024-01-01,4425.0,13.0,4438.0
2024-01-08,3125.0,7.0,3132.0
2024-01-15,3234.0,8.0,3242.0
2024-01-22,1697.0,5.0,1702.0
2024-01-29,2174.0,6.0,2180.0
2024-02-05,2778.0,7.0,2785.0
2024-02-12,3280.0,13.0,3293.0
2024-02-19,2677.0,9.0,2686.0
2024-02-26,4821.0,18.0,4839.0
2024-03-04,3617.0,10.0,3627.0
2024-03-11,3208.0,11.0,3219.0
2024-03-18,1776.0,7.0,1783.0
2024-03-25,2210.0,8.0,2218.0
2024-04-01,3804.0,12.0,3816.0
2024-04-08,5202.0,15.0,5217.0
2024-04-15,5266.0,12.0,5278.0
2024-04-22,2800.0,9.0,2809.0
2024-04-29,4102.0,12.0,4114.0
2024-05-06,3321.0,10.0,3331.0
2024-05-13,1720.0,4.0,1724.0
2024-05-20,2800.0,9.0,2809.0
2024-05-27,1901.0,5.0,1906.0
2024-06-03,3661.0,12.0,3673.0
2024-06-10,2792.0,7.0,2799.0
2024-06-17,2840.0,8.0,2848.0
2024-06-24,1322.0,4.0,1326.0
2024-07-01,1978.0,5.0,1983.0
2024-07-08,2877.0,8.0,2885.0
2024-07-15,1435.0,6.0,1441.0
2024-07-22,1178.0,3.0,1181.0
2024-07-29,1893.0,8.0,1901.0
2024-08-05,1381.0,3.0,1384.0
2024-08-12,1693.0,5.0,1698.0
2024-08-19,2353.0,7.0,2360.0
2024-08-26,1857.0,7.0,1864.0
2024-09-02,2984.0,10.0,2994.0
2024-09-09,782.0,4.0,786.0
2024-09-16,427.0,3.0,430.0
2024-09-23,1709.0,8.0,1717.0
2024-09-30,4397.0,16.0,4413.0
2024-10-07,3470.0,16.0,3486.0
2024-10-14,2294.0,9.0,2303.0
2024-10-21,3202.0,15.0,3217.0
2024-10-28,4000.0,15.0,4015.0
2024-11-04,2494.0,10.0,2504.0
2024-11-11,3398.0,13.0,3411.0
2024-11-18,2661.0,12.0,2673.0
2024-11-25,1954.0,11.0,1965.0
2024-12-02,398.0,4.0,402.0
2024-12-09,1783.0,11.0,1794.0
2024-12-16,1007.0,9.0,1016.0
2024-12-23,1592.0,7.0,1599.0
2024-12-30,2080.0,9.0,2089.0
2025-01-06,2268.0,12.0,2280.0
2025-01-13,2221.0,8.0,2229.0
2025-01-20,2427.0,14.0,2441.0
2025-01-27,2569.0,10.0,2579.0
2025-02-03,2795.0,9.0,2804.0
2025-02-10,3287.0,13.0,3300.0
2025-02-17,2121.0,6.0,2127.0
2025-02-24,4224.0,15.0,4239.0
2025-03-03,1620.0,7.0,1627.0
2025-03-10,1369.0,8.0,1377.0
2025-03-17,2020.0,9.0,2029.0
2025-03-24,2262.0,10.0,2272.0
2025-03-31,3346.0,14.0,3360.0
2025-04-07,2931.0,14.0,2945.0
2025-04-14,2003.0,8.0,2011.0
2025-04-21,2691.0,14.0,2705.0
2025-04-28,2666.0,18.0,2684.0
2025-05-05,3619.0,15.0,3634.0
2025-05-12,1841.0,6.0,1847.0
2025-05-19,2767.0,18.0,2785.0
2025-05-26,5806.0,20.0,5826.0
2025-06-02,5054.0,20.0,5074.0
2025-06-09,3420.0,12.0,3432.0
2025-06-16,6115.0,21.0,6136.0
2025-06-23,4720.0,20.0,4740.0
2025-06-30,5157.0,18.0,5175.0
2025-07-07,1277.0,9.0,1286.0
2025-07-14,1294.0,10.0,1304.0
2025-07-21,560.0,8.0,568.0
2025-07-28,4301.0,46.0,4347.0
2025-08-04,20653.0,139.0,20792.0
2025-08-11,18553.0,122.0,18675.0
2025-08-18,15896.0,128.0,16024.0
2025-08-25,20229.0,171.0,20400.0
2025-09-01,18609.0,229.0,18838.0
